time,open,high,low,close
2022-11-24T00:00:00Z,1748.7,1758.39,1747.92,1755.11
2022-11-25T00:00:00Z,1754.2,1760.94,1745.78,1754.13
2022-11-28T00:00:00Z,1753.01,1763.51,1739.46,1741.12
2022-11-29T00:00:00Z,1740.22,1758.7,1739.18,1749.48
2022-11-30T00:00:00Z,1749.22,1769.78,1744.59,1767.65
2022-12-01T00:00:00Z,1768.84,1803.95,1768.09,1802.8
2022-12-02T00:00:00Z,1801.65,1804.31,1778.07,1797.32
2022-12-05T00:00:00Z,1795.33,1809.75,1765.61,1768.62
2022-12-06T00:00:00Z,1768.08,1780.64,1767.03,1770.46
2022-12-07T00:00:00Z,1770.77,1790.36,1768.54,1785.59
2022-12-08T00:00:00Z,1786.0,1794.69,1781.2,1788.53
2022-12-09T00:00:00Z,1789.68,1805.93,1788.07,1796.17
2022-12-12T00:00:00Z,1796.53,1797.05,1777.4,1780.87
2022-12-13T00:00:00Z,1780.19,1824.31,1779.99,1810.61
2022-12-14T00:00:00Z,1810.53,1813.82,1793.31,1807.23
2022-12-15T00:00:00Z,1806.87,1808.45,1773.48,1776.66
2022-12-16T00:00:00Z,1776.44,1794.07,1774.11,1793.27
2022-12-19T00:00:00Z,1792.34,1798.53,1783.63,1787.15
2022-12-20T00:00:00Z,1787.55,1820.91,1784.42,1817.6
2022-12-21T00:00:00Z,1817.62,1823.6,1811.09,1814.35
2022-12-22T00:00:00Z,1813.17,1820.25,1784.54,1792.31
2022-12-23T00:00:00Z,1792.0,1803.04,1790.82,1797.82
2022-12-27T00:00:00Z,1800.93,1833.19,1798.01,1813.51
2022-12-28T00:00:00Z,1813.86,1814.43,1796.56,1803.7
2022-12-29T00:00:00Z,1803.39,1820.0,1803.25,1814.81
2022-12-30T00:00:00Z,1813.62,1825.79,1813.25,1823.85
2023-01-03T00:00:00Z,1825.78,1849.76,1822.88,1839.1
2023-01-04T00:00:00Z,1837.85,1864.91,1836.03,1854.33
2023-01-05T00:00:00Z,1854.37,1858.8,1824.69,1832.43
2023-01-06T00:00:00Z,1831.76,1869.66,1831.05,1865.84
2023-01-09T00:00:00Z,1868.01,1881.33,1865.91,1871.07
2023-01-10T00:00:00Z,1870.93,1880.55,1867.35,1876.35
2023-01-11T00:00:00Z,1876.49,1886.46,1866.91,1875.61
