time,open,high,low,close
2026-09-14T07:15:00Z,4323.83,4324.12,4316.19,4316.67
2026-09-14T07:30:00Z,4316.67,4319.41,4315.48,4319.17
2026-09-14T07:45:00Z,4319.18,4321.82,4307.88,4310.62
2026-09-14T08:00:00Z,4310.62,4318.22,4310.62,4313.37
2026-09-14T08:15:00Z,4313.32,4314.28,4310.29,4310.65
2026-09-14T08:30:00Z,4310.6,4315.94,4309.72,4311.76
2026-09-14T08:45:00Z,4311.76,4313.26,4303.36,4306.77
2026-09-14T09:00:00Z,4306.67,4311.74,4305.14,4305.99
2026-09-14T09:15:00Z,4305.97,4306.08,4280.49,4288.44
2026-09-14T09:30:00Z,4288.33,4289.47,4279.55,4281.49
2026-09-14T09:45:00Z,4281.49,4288.3,4279.05,4285.31
2026-09-14T10:00:00Z,4285.74,4289.52,4278.09,4288.52
2026-09-14T10:15:00Z,4288.52,4292.62,4286.02,4291.18
2026-09-14T10:30:00Z,4291.18,4294.9,4289.6,4293.77
2026-09-14T10:45:00Z,4293.77,4296.55,4290.01,4294.54
2026-09-14T11:00:00Z,4294.43,4296.74,4290.91,4291.48
2026-09-14T11:15:00Z,4292.42,4296.88,4291.08,4295.65
2026-09-14T11:30:00Z,4295.65,4296.77,4292.08,4292.24
2026-09-14T11:45:00Z,4292.24,4293.71,4284.02,4287.22
2026-09-14T12:00:00Z,4287.18,4296.74,4285.21,4294.68
2026-09-14T12:15:00Z,4294.64,4297.37,4283.98,4285.95
2026-09-14T12:30:00Z,4285.95,4289.58,4273.6,4283.49
2026-09-14T12:45:00Z,4283.49,4283.53,4265.77,4271.23
2026-09-14T13:00:00Z,4271.2,4272.69,4253.66,4266.68
2026-09-14T13:15:00Z,4266.48,4277.65,4263.81,4273.13
2026-09-14T13:30:00Z,4273.13,4278.33,4267.19,4274.91
2026-09-14T13:45:00Z,4274.85,4281.05,4269.83,4272.99
2026-09-14T14:00:00Z,4272.79,4281.85,4265.05,4281.76
2026-09-14T14:15:00Z,4281.76,4282.75,4264.17,4269.9
2026-09-14T14:30:00Z,4269.89,4276.88,4266.45,4276.79
2026-09-14T14:45:00Z,4276.78,4279.52,4273.98,4279.45
2026-09-14T15:00:00Z,4279.45,4286.26,4272.66,4277.1
2026-09-14T15:15:00Z,4277.1,4284.73,4272.57,4283.47
2026-09-14T15:30:00Z,4283.43,4298.36,4282.78,4294.11
2026-09-14T15:45:00Z,4294.11,4295.23,4286.31,4288.18
2026-09-14T16:00:00Z,4288.18,4297.6,4286.36,4294.49
2026-09-14T16:15:00Z,4294.28,4305.03,4294.28,4300.23
2026-09-14T16:30:00Z,4300.23,4307.67,4299.38,4306.18
2026-09-14T16:45:00Z,4306.18,4317.32,4304.75,4315.72
2026-09-14T17:00:00Z,4315.67,4316.49,4311.27,4311.46
2026-09-14T17:15:00Z,4311.43,4314.24,4309.19,4311.76
2026-09-14T17:30:00Z,4311.75,4313.64,4307.59,4309.87
2026-09-14T17:45:00Z,4309.82,4313.84,4308.63,4310.85
2026-09-14T18:00:00Z,4310.83,4314.99,4308.22,4312.39
2026-09-14T18:15:00Z,4312.38,4312.68,4306.25,4309.46
2026-09-14T18:30:00Z,4309.43,4313.23,4308.51,4309.5
2026-09-14T18:45:00Z,4309.3,4309.82,4304.85,4307.69
2026-09-14T19:00:00Z,4307.42,4307.93,4302.78,4305.99
2026-09-14T19:15:00Z,4305.84,4305.87,4296.04,4296.42
2026-09-14T19:30:00Z,4296.42,4297.39,4290.55,4292.01
2026-09-14T19:45:00Z,4292.01,4292.01,4282.97,4284.3
2026-09-14T20:00:00Z,4284.3,4288.52,4282.46,4287.88
2026-09-14T20:15:00Z,4287.87,4298.26,4287.87,4296.64
2026-09-14T20:30:00Z,4296.64,4299.51,4294.53,4294.69
2026-09-14T20:45:00Z,4294.75,4299.63,4294.75,4299.19
2026-09-14T22:00:00Z,4300.47,4300.47,4296.42,4297.01
2026-09-14T22:15:00Z,4296.99,4298.29,4292.85,4295.7
2026-09-14T22:30:00Z,4295.7,4298.66,4293.64,4295.84
