time,open,high,low,close
2026-09-22T01:55:00Z,4348.06,4349.47,4346.52,4348.39
2026-09-22T02:00:00Z,4348.4,4352.21,4347.68,4352.04
2026-09-22T02:05:00Z,4352.04,4352.04,4342.71,4343.16
2026-09-22T02:10:00Z,4343.16,4344.62,4341.69,4342.51
2026-09-22T02:15:00Z,4342.5,4343.97,4340.06,4343.24
2026-09-22T02:20:00Z,4343.24,4348.18,4343.17,4347.42
2026-09-22T02:25:00Z,4347.36,4352.15,4347.25,4351.05
2026-09-22T02:30:00Z,4351.38,4355.68,4348.9,4355.04
2026-09-22T02:35:00Z,4355.03,4355.55,4352.92,4353.34
2026-09-22T02:40:00Z,4353.32,4353.87,4346.96,4347.32
2026-09-22T02:45:00Z,4347.02,4347.15,4342.63,4346.34
2026-09-22T02:50:00Z,4346.33,4346.77,4341.53,4342.28
2026-09-22T02:55:00Z,4342.28,4344.84,4340.49,4344.56
2026-09-22T03:00:00Z,4344.56,4345.84,4341.96,4342.34
2026-09-22T03:05:00Z,4342.34,4343.45,4339.48,4340.15
2026-09-22T03:10:00Z,4340.05,4345.48,4339.62,4345.48
2026-09-22T03:15:00Z,4345.38,4346.38,4343.69,4344.56
2026-09-22T03:20:00Z,4344.57,4345.74,4341.37,4343.07
2026-09-22T03:25:00Z,4343.07,4346.29,4342.97,4346.25
2026-09-22T03:30:00Z,4346.25,4347.96,4344.74,4347.01
2026-09-22T03:35:00Z,4347.03,4349.31,4345.49,4347.14
2026-09-22T03:40:00Z,4347.12,4347.85,4341.28,4342.88
2026-09-22T03:45:00Z,4342.83,4343.87,4341.14,4343.64
2026-09-22T03:50:00Z,4343.64,4344.31,4340.6,4341.37
2026-09-22T03:55:00Z,4341.37,4343.23,4341.2,4341.7
2026-09-22T04:00:00Z,4341.7,4341.9,4335.19,4336.99
2026-09-22T04:05:00Z,4336.97,4338.48,4336.14,4336.83
2026-09-22T04:10:00Z,4336.83,4339.81,4335.98,4338.39
