time,open,high,low,close
2026-08-11T03:00:00Z,4410.83,4421.59,4409.89,4416.89
2026-08-11T04:00:00Z,4416.83,4420.48,4403.55,4408.85
2026-08-11T05:00:00Z,4408.85,4409.01,4367.67,4375.38
2026-08-11T06:00:00Z,4375.38,4382.5,4359.75,4366.02
2026-08-11T07:00:00Z,4365.98,4367.64,4356.68,4357.6
2026-08-11T08:00:00Z,4357.56,4376.67,4357.02,4369.03
2026-08-11T09:00:00Z,4369.03,4375.48,4367.55,4372.39
2026-08-11T10:00:00Z,4372.39,4382.56,4371.3,4382.41
2026-08-11T11:00:00Z,4382.35,4393.08,4380.48,4387.7
2026-08-11T12:00:00Z,4387.69,4400.0,4383.72,4392.54
2026-08-11T13:00:00Z,4392.51,4404.22,4384.49,4389.17
2026-08-11T14:00:00Z,4389.15,4398.1,4381.44,4394.28
2026-08-11T15:00:00Z,4394.16,4398.73,4369.14,4383.87
2026-08-11T16:00:00Z,4383.87,4385.78,4378.24,4383.69
2026-08-11T17:00:00Z,4383.44,4385.76,4369.09,4369.35
2026-08-11T18:00:00Z,4369.31,4372.69,4360.36,4371.6
2026-08-11T19:00:00Z,4371.58,4374.15,4361.24,4370.6
2026-08-11T20:00:00Z,4370.6,4371.07,4366.79,4367.91
2026-08-11T22:00:00Z,4371.14,4378.29,4367.37,4368.89
2026-08-11T23:00:00Z,4368.82,4374.05,4362.4,4371.46
2026-08-12T00:00:00Z,4371.47,4383.55,4366.45,4380.54
2026-08-12T01:00:00Z,4381.04,4397.24,4378.4,4396.3
2026-08-12T02:00:00Z,4396.34,4414.44,4394.05,4411.26
2026-08-12T03:00:00Z,4411.26,4415.63,4400.79,4402.34
2026-08-12T04:00:00Z,4402.16,4403.3,4395.26,4401.01
2026-08-12T05:00:00Z,4401.01,4404.85,4383.99,4391.46
2026-08-12T06:00:00Z,4391.31,4406.25,4385.22,4403.24
2026-08-12T07:00:00Z,4403.32,4410.03,4398.2,4406.2
2026-08-12T08:00:00Z,4406.38,4410.46,4401.61,4401.69
2026-08-12T09:00:00Z,4401.69,4423.79,4401.69,4415.95
2026-08-12T10:00:00Z,4415.78,4420.93,4408.34,4412.85
2026-08-12T11:00:00Z,4412.84,4416.59,4407.86,4412.7
2026-08-12T12:00:00Z,4412.7,4437.99,4386.55,4437.4
2026-08-12T13:00:00Z,4437.4,4440.92,4408.66,4427.73
2026-08-12T14:00:00Z,4427.68,4439.53,4416.44,4422.37
2026-08-12T15:00:00Z,4422.31,4429.92,4411.02,4421.02
2026-08-12T16:00:00Z,4420.96,4426.41,4396.83,4401.66
2026-08-12T17:00:00Z,4401.59,4411.39,4399.0,4399.21
2026-08-12T18:00:00Z,4399.48,4417.84,4396.37,4413.04
2026-08-12T19:00:00Z,4413.04,4418.35,4408.25,4413.61
2026-08-12T20:00:00Z,4413.61,4414.05,4406.59,4408.94
2026-08-12T22:00:00Z,4410.2,4410.66,4398.19,4402.47
2026-08-12T23:00:00Z,4402.34,4414.47,4401.7,4414.47
2026-08-13T00:00:00Z,4414.49,4449.76,4412.95,4427.99
2026-08-13T01:00:00Z,4427.87,4435.32,4406.08,4408.51
2026-08-13T02:00:00Z,4408.45,4414.08,4399.1,4407.31
2026-08-13T03:00:00Z,4407.15,4412.14,4398.63,4400.2
2026-08-13T04:00:00Z,4400.29,4400.29,4391.63,4397.85
2026-08-13T05:00:00Z,4397.85,4407.24,4380.6,4382.98
